,city,country,pop2023,latitude,longitude,airport_available,POP PER,GDP per city in crores
78,SANGLI,India,601214,16.8544,74.5642,FALSE,0.000424235,1154.088009
79,CUTTACK,India,580000,20.465,85.8793,FALSE,0.000409265,1113.365699
80,BIKANER,India,576015,28.0176,73.3149,FALSE,0.000406454,1105.716109
81,BOKARO,India,564319,23.6693,86.1516,FALSE,0.0003982,1083.264513
82,WARANGAL,India,557802,18,79.5833,FALSE,0.000393602,1070.754506
83,NANDED,India,550564,19.1602,77.315,TRUE,0.000388495,1056.86047
84,KOZHIKODE,India,550440,11.248,75.7804,TRUE,0.000388407,1056.62244
85,RAURKELA,India,536450,22.225,84.8641,FALSE,0.000378535,1029.767292
86,GUNTUR,India,530577,16.2997,80.4573,FALSE,0.000374391,1018.493504
87,DEHRA DUN,India,522081,30.3244,78.0339,TRUE,0.000368396,1002.184616
88,ERODE,India,521891,11.3428,77.7274,FALSE,0.000368262,1001.819893
89,BHAYANDAR,India,520301,19.3016,72.8511,FALSE,0.00036714,998.7677352
90,DURGAPUR,India,518872,23.5158,87.308,TRUE,0.000366132,996.0246325
91,AJMER,India,517911,26.4521,74.6387,TRUE,0.000365454,994.1799007
92,ULHASNAGAR,India,516584,19.2167,73.15,FALSE,0.000364517,991.6325968
93,KOLHAPUR,India,516142,16.6956,74.2317,TRUE,0.000364205,990.7841353
94,SILIGURI,India,515574,26.71,88.4285,FALSE,0.000363805,989.6938048
95,BILIMORA,India,510879,20.7696,72.9613,FALSE,0.000360492,980.6813014
96,KAROL BAGH,India,505241,28.6514,77.1907,FALSE,0.000356513,969.858619
97,ASANSOL,India,504271,23.6833,86.9833,FALSE,0.000355829,967.9966108
98,JAMNAGAR,India,492056,22.4729,70.0667,TRUE,0.00034721,944.5487453
99,SAHARANPUR,India,484873,29.9679,77.5452,FALSE,0.000342141,930.760287
100,VELLORE,India,484690,12.9184,79.1326,FALSE,0.000342012,930.4090009
101,GULBARGA,India,483615,17.3358,76.8376,FALSE,0.000341253,928.3454352
102,BHATPARA,India,483129,22.8664,88.4011,FALSE,0.00034091,927.4125115
103,JAMMU,India,465567,32.7357,74.8691,TRUE,0.000328518,893.700566
104,KURNOOL,India,460184,15.8289,78.036,TRUE,0.00032472,883.3673805
105,UJJAIN,India,457346,23.1824,75.7764,FALSE,0.000322717,877.919567
106,RAMGUNDAM,India,452261,18.8008,79.4521,FALSE,0.000319129,868.1584212
107,MAHESHTALA,India,448317,22.5086,88.2532,FALSE,0.000316346,860.5875344
108,SHYAMNAGAR,India,441956,22.8333,88.3667,FALSE,0.000311857,848.3769841
109,MALEGAON,India,435362,20.5497,74.5346,FALSE,0.000307205,835.7191678
110,DAVANGERE,India,435128,14.4669,75.9269,FALSE,0.000307039,835.2699824
111,JALGAON,India,429298,21.0029,75.566,TRUE,0.000302926,824.0787375
112,AKOLA,India,428857,20.7096,76.9981,FALSE,0.000302614,823.2321956
113,BELGAUM,India,428720,15.8521,74.5045,TRUE,0.000302518,822.969211
114,RAJPUR SONARPUR,India,424368,22.4382,88.4321,FALSE,0.000299447,814.615129
115,GAYA,India,423692,24.7969,85.0039,TRUE,0.00029897,813.3174821
116,UDAIPUR,India,422784,24.5858,73.7135,TRUE,0.000298329,811.5744889
117,KORBA,India,419146,22.3458,82.6963,FALSE,0.000295762,804.5909986
118,MANGALORE,India,417387,12.9172,74.856,TRUE,0.000294521,801.2144291
119,JHANSI,India,412927,25.4589,78.5799,FALSE,0.000291374,792.6530308
120,THOOTHUKUDI,India,410760,8.76735,78.1342,FALSE,0.000289845,788.4932662
121,NELLORE,India,404158,14.4499,79.987,FALSE,0.000285186,775.8200932
122,PANIHATI,India,378705,22.6909,88.374,FALSE,0.000267226,726.9606154
123,RAJAHMUNDRY,India,376333,17.0052,81.7778,TRUE,0.000265552,722.4073336
124,AHMADNAGAR,India,367140,19.0946,74.7384,FALSE,0.000259065,704.7604873
125,KOLLAM,India,367107,8.88113,76.5847,FALSE,0.000259042,704.6971406
126,DHULIA,India,366980,20.9013,74.7774,FALSE,0.000258952,704.4533519
127,BHAGALPUR,India,361548,25.2445,86.9718,FALSE,0.000255119,694.0261063
128,PUNASA,India,350000,22.2351,76.3933,FALSE,0.000246971,671.8586113
129,MUZAFFARNAGAR,India,349706,29.4709,77.7033,FALSE,0.000246763,671.2942501
130,LATUR,India,348967,18.3972,76.5678,FALSE,0.000246242,669.8756686
131,KUKATPALLI,India,341709,17.4849,78.4138,FALSE,0.00024112,655.9432406
132,AMBATTUR,India,341049,13.0982,80.1615,FALSE,0.000240654,654.6763072
133,BELLARY,India,336681,15.142,76.924,FALSE,0.000237572,646.2915118
134,MUZAFFARPUR,India,333200,26.1226,85.3905,FALSE,0.000235116,639.609398
135,KAMARHATI,India,332965,22.6711,88.3747,FALSE,0.00023495,639.1582929
136,MATHURA,India,330511,27.5035,77.6721,FALSE,0.000233218,634.4476042
137,PATIALA,India,329224,30.3363,76.3922,FALSE,0.00023231,631.9770841
138,CHANDA,India,328351,19.9508,79.2952,FALSE,0.000231694,630.3012768
139,BHILWARA,India,326431,25.3471,74.6408,FALSE,0.00023034,626.6156524
140,BRAHMAPUR,India,324726,19.3115,84.7929,FALSE,0.000229136,623.3427412
141,SHAHJANPUR,India,320434,27.8817,79.9092,FALSE,0.000226108,615.103835
142,SHIMOGA,India,319550,13.9316,75.5679,FALSE,0.000225484,613.4069121
143,NEW DELHI,India,317797,28.6358,77.2244,FALSE,0.000224247,610.0418603
144,ROHTAK,India,317245,28.8945,76.5892,FALSE,0.000223858,608.9822433
145,THRISSUR,India,315957,10.5167,76.2167,FALSE,0.000222949,606.5098036
146,TUMKUR,India,307359,13.3414,77.1022,FALSE,0.000216882,590.0051169
147,FIROZABAD,India,306409,27.1509,78.3978,FALSE,0.000216211,588.1815007
148,NIZAMABAD,India,305438,18.6715,78.0988,FALSE,0.000215526,586.3175729
149,KULTI,India,305405,23.7317,86.8437,FALSE,0.000215503,586.2542263
150,BARDDHAMAN,India,301725,23.2557,87.8569,FALSE,0.000212906,579.1901129
151,BARASAT,India,298127,22.7215,88.482,FALSE,0.000210367,572.2834063
152,MULUGU,India,297671,18.191,79.943,FALSE,0.000210046,571.4080705
153,BALI,India,296973,22.6486,88.3411,FALSE,0.000209553,570.0681925
154,HISAR,India,296436,29.1539,75.7229,FALSE,0.000209174,569.0373694
155,RAMPUR,India,296418,28.8101,79.027,FALSE,0.000209161,569.0028167
156,GREATER NOIDA,India,293908,28.4961,77.536,FALSE,0.00020739,564.1846307
157,NOIDA,India,293908,28.58,77.33,FALSE,0.00020739,564.1846307
158,KAKINADA,India,292923,16.9604,82.2381,FALSE,0.000206695,562.2938286
159,PANIPAT,India,292808,29.3875,76.9682,FALSE,0.000206614,562.073075
160,DINDIGUL,India,292512,10.369,77.9804,FALSE,0.000206405,561.5048746
161,TANJORE,India,291067,10.7852,79.1391,FALSE,0.000205386,558.7310583
162,PARBHANI,India,289629,19.2686,76.7708,FALSE,0.000204371,555.9706792
163,DARBHANGA,India,287150,26.1522,85.8971,TRUE,0.000202622,551.2120007
164,ALWAR,India,283228,27.5625,76.625,FALSE,0.000199854,543.683345
165,BILASPUR,India,282705,22.08,82.1554,TRUE,0.000199485,542.6793963
166,ICHALKARANJI,India,274383,16.6912,74.4605,FALSE,0.000193613,526.7045181
167,BIJAPUR,India,271064,16.8244,75.7154,FALSE,0.000191271,520.3333789
168,AIZAWL,India,265331,23.7289,92.7179,TRUE,0.000187226,509.3283349
169,RANIPET,India,264330,12.9247,79.3333,FALSE,0.000186519,507.4068192
