,CITY 1,CITY 2,lat1,lon1,lat2,lon2,distance
260,CHENNAI,VIJAYAWADA,13.0878,80.2785,16.5075,80.6466,382.306227
261,CHENNAI,VISAKHAPATNAM,13.0878,80.2785,17.6801,83.2016,599.0822897
262,COIMBATORE,DABOLIM,11.0056,76.9661,15.3803,73.8349,592.8507058
263,COIMBATORE,DELHI,11.0056,76.9661,28.652,77.2315,1962.384366
264,COIMBATORE,GUWAHATI,11.0056,76.9661,26.1844,91.7458,2292.260062
265,COIMBATORE,HYDERABAD,11.0056,76.9661,17.3841,78.4564,727.2022699
266,COIMBATORE,JAIPUR,11.0056,76.9661,26.9196,75.7878,1773.851294
267,COIMBATORE,KOCHI,11.0056,76.9661,9.9312,76.2673,141.812583
268,COIMBATORE,MANGALORE,11.0056,76.9661,12.9172,74.856,312.831768
269,COIMBATORE,MUMBAI,11.0056,76.9661,19.0728,72.8826,998.2817948
270,COIMBATORE,PUNE,11.0056,76.9661,18.5196,73.8553,899.8762415
271,COIMBATORE,SURAT,11.0056,76.9661,21.1959,72.8302,1215.944206
272,COIMBATORE,TIRUPATI,11.0056,76.9661,13.6355,79.4199,395.6753067
273,DABOLIM,DELHI,15.3803,73.8349,28.652,77.2315,1516.443809
274,DABOLIM,HYDERABAD,15.3803,73.8349,17.3841,78.4564,540.9960255
275,DABOLIM,INDORE,15.3803,73.8349,22.7179,75.8333,842.4577281
276,DABOLIM,JAIPUR,15.3803,73.8349,26.9196,75.7878,1298.918817
277,DABOLIM,KANNUR,15.3803,73.8349,11.9171,75.5461,427.1667402
278,DABOLIM,KOCHI,15.3803,73.8349,9.9312,76.2673,660.8415245
279,DABOLIM,KOLKATA,15.3803,73.8349,22.5626,88.363,1722.269308
280,DABOLIM,LUCKNOW,15.3803,73.8349,26.8393,80.9231,1470.195499
281,DABOLIM,MUMBAI,15.3803,73.8349,19.0728,72.8826,422.8555077
282,DABOLIM,MYSORE,15.3803,73.8349,12.2979,76.6393,457.302914
283,DABOLIM,NAGPUR,15.3803,73.8349,21.1463,79.0849,847.3666065
284,DABOLIM,PUNE,15.3803,73.8349,18.5196,73.8553,349.0809748
285,DABOLIM,RAIPUR,15.3803,73.8349,21.2333,81.6333,1049.015461
286,DABOLIM,RAJKOT,15.3803,73.8349,22.2916,70.7932,832.4025212
287,DABOLIM,SURAT,15.3803,73.8349,21.1959,72.8302,655.2975646
288,DABOLIM,TRIVANDRUM,15.3803,73.8349,8.4834,76.9198,837.0288457
289,DARBHANGA,DELHI,26.1522,85.8971,28.652,77.2315,899.2024161
290,DARBHANGA,HYDERABAD,26.1522,85.8971,17.3841,78.4564,1240.619226
291,DARBHANGA,KOLKATA,26.1522,85.8971,22.5626,88.363,470.8260893
292,DARBHANGA,MUMBAI,26.1522,85.8971,19.0728,72.8826,1549.09725
293,DEHRA DUN,DELHI,30.3244,78.0339,28.652,77.2315,201.5265335
294,DEHRA DUN,JAIPUR,30.3244,78.0339,26.9196,75.7878,437.4596352
295,DEHRA DUN,LUCKNOW,30.3244,78.0339,26.8393,80.9231,479.2845226
296,DEHRA DUN,MUMBAI,30.3244,78.0339,19.0728,72.8826,1354.496324
297,DEHRA DUN,PANTNAGAR,30.3244,78.0339,29.0335,79.4689,199.5523626
